,LICENSENO,LICSTATUS,LICCAT,LICCATDESC,Address_Complete,Location_Complete
247,LB-99353,Active,CV7AL,CV7 All Alc.,Franklin St Boston MA,"(42.3589282, -71.1331157)"
248,LB-99813,Active,CV7MWL,CV7 Malt Wine Liq.,Meridian ST East Boston MA,"(42.376352, -71.03915)"
249,LB-155715,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Washington St Jamaica Plain MA,"(42.2996596, -71.1150017)"
250,LB-154485,Active,CV7MWN,CV7MWN - Neighborhood Restricted,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
251,LB-99830,Active,CV7MWL,CV7 Malt Wine Liq.,Bunker Hill St Charlestown MA,"(42.3765608, -71.0568361)"
252,LB-98954,Active,CV7AL,CV7 All Alc.,Brighton Av Allston MA,"(42.3535351, -71.1363711)"
253,LB-99518,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
254,LB-99389,Active,CV7AL,CV7 All Alc.,Dartmouth ST Boston MA,"(42.3516529, -71.0781096)"
255,LB-99745,Active,CV7MWL,CV7 Malt Wine Liq.,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
256,LB-99569,Active,CV7MWL,CV7 Malt Wine Liq.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
257,LB-99588,Active,CV7MW,CV7 Malt Wine,Dalton ST Boston MA,"(42.3478661, -71.0855635)"
258,LB-98907,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
259,LB-99515,Active,CV7MW,CV7 Malt Wine,Spring ST West Roxbury MA,"(42.274035, -71.169522)"
260,LB-99631,Active,CV7MW,CV7 Malt Wine,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
261,LB-99308,Active,CV7AL,CV7 All Alc.,Western AV Allston MA,"(42.3633877, -71.1282912)"
262,LB-99108,Active,CV7AL,CV7 All Alc.,Newbury St Boston MA,"(42.3520749, -71.0733646)"
263,LB-99862,Active,CV7MWR,CV7 Malt Wine Restrict.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
264,LB-99748,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
265,LB-99085,Active,CV7AL,CV7 All Alc.,Hanover ST Boston MA,"(42.364779, -71.053461)"
266,LB-99086,Active,CV7AL,CV7 All Alc.,Hanover ST Boston MA,"(42.364779, -71.053461)"
267,LB-99650,Active,CV7MW,CV7 Malt Wine,Tremont St Boston MA,"(42.3582926, -71.0602525)"
268,LB-99378,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
269,LB-99216,Active,CV7AL,CV7 All Alc.,S Huntington AV Jamaica Plain MA,"(42.324552, -71.112259)"
270,LB-162572,Active,CV7AL,CV7 All Alc.,Hanover St Boston MA,"(42.364779, -71.053461)"
271,LB-99447,Active,CV7AL,CV7 All Alc.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
272,LB-99314,Active,CV7AL,CV7 All Alc.,Wolcott CT Hyde Park MA,"(42.23873, -71.131223)"
273,LB-99717,Active,CV7MWL,CV7 Malt Wine Liq.,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
274,LB-99753,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover ST Boston MA,"(42.364779, -71.053461)"
275,LB-99299,Active,CV7AL,CV7 All Alc.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
276,LB-99124,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
277,LB-99078,Active,CV7AL,CV7 All Alc.,Gloucester ST Boston MA,"(42.3487691, -71.0839328)"
278,LB-99771,Active,CV7MWL,CV7 Malt Wine Liq.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
279,LB-98965,Active,CV7AL,CV7 All Alc.,Brookline Av Boston MA,"(42.3364702, -71.1097786)"
280,LB-98977,Active,CV7AL,CV7 All Alc.,Causeway ST Boston MA,"(42.3660018, -71.0602237)"
281,LB-99112,Active,CV7AL,CV7 All Alc.,Hyde Park AV Hyde Park MA,"(42.2438032, -71.129883)"
282,LB-99294,Active,CV7AL,CV7 All Alc.,Lagrange ST Boston MA,"(42.35159, -71.063633)"
283,LB-99522,Active,CV7MWL,CV7 Malt Wine Liq.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
284,LB-99039,Active,CV7AL,CV7 All Alc.,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
285,LB-99538,Active,CV7MW,CV7 Malt Wine,Centre St Jamaica Plain MA,"(42.3094665, -71.115559)"
286,LB-101618,Active,INNAL,Inn. All Alc.,Chandler ST Boston MA,"(42.345966, -71.0749417)"
287,LB-99272,Active,CV7AL,CV7 All Alc.,Warrenton ST Boston MA,"(42.3502692, -71.0660021)"
288,LB-98990,Active,CV7AL,CV7 All Alc.,Chestnut ST Boston MA,"(42.3214677, -71.1192696)"
289,LB-101662,Active,INNAL,Inn. All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
290,LB-99608,Active,CV7MW,CV7 Malt Wine,William T Morrissey Blvd Dorchester MA,"(42.3002439, -71.0493226)"
291,LB-99404,Active,CV7AL,CV7 All Alc.,Essex ST Boston MA,"(42.3521222, -71.0569751)"
292,LB-99203,Active,CV7AL,CV7 All Alc.,Faneuil Hall SQ Boston MA,"(42.3601809, -71.056504)"
293,LB-99802,Active,CV7MWL,CV7 Malt Wine Liq.,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
294,LB-99610,Active,CV7MW,CV7 Malt Wine,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
295,LB-99261,Active,CV7AL,CV7 All Alc.,Tyler ST Boston MA,"(42.3504593, -71.0608787)"
296,LB-99172,Active,CV7AL,CV7 All Alc.,257 Norfolk Avenue Boston MA,"(42.3235930697674, -71.0679133953488)"
297,LB-99597,Active,CV7MW,CV7 Malt Wine,Main St Charlestown MA,"(17.1385993, -62.6288555)"
298,LB-99488,Active,CV7ALR,CV7 All Alc. Restrict.,Harrison AV Roxbury MA,"(42.3279605, -71.0830607)"
299,LB-99472,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
300,LB-99235,Active,CV7AL,CV7 All Alc.,Boston Wharf RD Boston MA,"(42.3507159, -71.0463217)"
301,LB-99214,Active,CV7AL,CV7 All Alc.,Shawmut AV Roxbury MA,"(42.328666, -71.0861827)"
302,LB-98902,Active,CV7AL,CV7 All Alc.,BEACON ST BRIGHTON MA,"(42.3367506, -71.1463481)"
303,LB-99153,Active,CV7AL,CV7 All Alc.,Merchants Row Boston MA,"(42.3594422, -71.0556378)"
304,LB-98998,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
305,LB-99435,Active,CV7AL,CV7 All Alc.,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
306,LB-99785,Active,CV7MWL,CV7 Malt Wine Liq.,School St Boston MA,"(42.3603274, -71.1431297)"
307,LB-98997,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
308,LB-101648,Active,INNAL,Inn. All Alc.,Mount Vernon ST Dorchester MA,"(42.3204982, -71.0500131)"
309,LB-99446,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
310,LB-101626,Active,INNAL,Inn. All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
311,LB-99666,Active,CV7MW,CV7 Malt Wine,Centre ST West Roxbury MA,"(42.2875094, -71.1524339)"
312,LB-99301,Active,CV7AL,CV7 All Alc.,Northern Av Boston MA,"(42.3485599, -71.0382116)"
313,LB-99766,Active,CV7MWL,CV7 Malt Wine Liq.,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
314,LB-99156,Active,CV7AL,CV7 All Alc.,Milk ST Boston MA,"(42.3573374, -71.0549013)"
315,LB-101627,Active,INNAL,Inn. All Alc.,Huntington Av Boston MA,"(42.3397762, -71.0906494)"
316,LB-99741,Active,CV7MWL,CV7 Malt Wine Liq.,Shawmut AV Roxbury MA,"(42.328666, -71.0861827)"
317,LB-99195,Active,CV7AL,CV7 All Alc.,Prince ST Boston MA,"(42.316097, -71.123632)"
318,LB-99122,Active,CV7AL,CV7 All Alc.,Lincoln St Boston MA,"(42.3573329, -71.1358409)"
319,LB-99018,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
320,LB-99135,Active,CV7AL,CV7 All Alc.,Market ST Brighton MA,"(42.3503824, -71.1527106)"
321,LB-98980,Active,CV7AL,CV7 All Alc.,Centre ST West Roxbury MA,"(42.2875094, -71.1524339)"
322,LB-98911,Active,CV7AL,CV7 All Alc.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
323,LB-98984,Active,CV7AL,CV7 All Alc.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
324,LB-99111,Active,CV7AL,CV7 All Alc.,Hyde Park Av Hyde Park MA,"(42.2438032, -71.129883)"
325,LB-101640,Active,INNAL,Inn. All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
326,LB-101623,Active,INNAL,Inn. All Alc.,33 W Howell ST Boston MA,"(42.3254622040816, -71.0594827142857)"
327,LB-101675,Active,INNMW,Innholder Malt & Wine,Exeter ST Boston MA,"(42.3510642, -71.0802554)"
328,LB-99674,Active,CV7MWL,CV7 Malt Wine Liq.,Kneeland ST Boston MA,"(42.3509207, -71.0626274)"
329,LB-99593,Active,CV7MW,CV7 Malt Wine,Boylston St Boston MA,"(42.3500548, -71.0774775)"
330,LB-98904,Active,CV7AL,CV7 All Alc.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
331,LB-99831,Active,CV7MWL,CV7 Malt Wine Liq.,Salem ST Boston MA,"(42.3664741, -71.0546855)"
332,LB-99794,Active,CV7MWL,CV7 Malt Wine Liq.,State St Boston MA,"(42.3588444, -71.0572152)"
333,LB-99458,Active,CV7AL,CV7 All Alc.,Linden ST Allston MA,"(42.3348, -71.11846)"
334,LB-99200,Active,CV7AL,CV7 All Alc.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
335,LB-98938,Active,CV7AL,CV7 All Alc.,Tremont ST Roxbury MA,"(42.3314388, -71.0945931)"
336,LB-99391,Active,CV7AL,CV7 All Alc.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
337,LB-98899,Active,CV7AL,CV7 All Alc.,Newbury St Boston MA,"(42.3520749, -71.0733646)"
338,LB-99426,Active,CV7AL,CV7 All Alc.,Columbus AV Roxbury MA,"(42.3154539, -71.0981651)"
339,LB-99337,Active,CV7AL,CV7 All Alc.,Arlington ST Boston MA,"(42.3491713, -71.0695618)"
340,LB-99431,Active,CV7AL,CV7 All Alc.,Soldiers Field RD Brighton MA,"(42.3614336, -71.1463003)"
341,LB-99635,Active,CV7MW,CV7 Malt Wine,W Broadway South Boston MA,"(42.3423843, -71.0563744)"
342,LB-99357,Active,CV7AL,CV7 All Alc.,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
343,LB-99320,Active,CV7AL,CV7 All Alc.,Cambridge ST Allston MA,"(42.3753849, -71.113648)"
344,LB-99080,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
345,LB-99627,Active,CV7MW,CV7 Malt Wine,Hyde Park AV Hyde Park MA,"(42.2438032, -71.129883)"
346,LB-99615,Active,CV7MW,CV7 Malt Wine,South ST Roslindale MA,"(42.288684, -71.134601)"
347,LB-115958,Active,GOPALA,GOP All Alcohol Airport,Logan Airport Terminal A East Boston MA,"(42.3649631, -71.0207667)"
348,LB-134971,Active,CV7ALN,CV7ALN - Neighborhood Restricted,South ST Roslindale MA,"(42.288684, -71.134601)"
349,LB-99449,Active,CV7AL,CV7 All Alc.,Massachusetts AV Boston MA,"(42.3490087, -71.0885814)"
350,LB-99024,Active,CV7AL,CV7 All Alc.,Washington ST Brighton MA,"(42.3440542, -71.1426459)"
351,LB-99121,Active,CV7AL,CV7 All Alc.,Brookline Av Boston MA,"(42.3364702, -71.1097786)"
352,LB-99684,Active,CV7MW,CV7 Malt Wine,Tyler ST Boston MA,"(42.3504593, -71.0608787)"
353,LB-99379,Active,CV7AL,CV7 All Alc.,Faneuil Hall SQ BOSTON MA,"(42.3601809, -71.056504)"
354,LB-98953,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
355,LB-99473,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
356,LB-99527,Active,CV7MW,CV7 Malt Wine,Salem ST Boston MA,"(42.3664741, -71.0546855)"
357,LB-99659,Active,CV7MW,CV7 Malt Wine,Newbury ST Boston MA,"(42.3520749, -71.0733646)"
358,LB-99702,Active,CV7MWL,CV7 Malt Wine Liq.,Hanover St Boston MA,"(42.364779, -71.053461)"
359,LB-99005,Active,CV7AL,CV7 All Alc.,Commercial ST Boston MA,"(42.3635989, -71.0513736)"
360,LB-99170,Active,CV7AL,CV7 All Alc.,Clinton ST Boston MA,"(42.360787, -71.0538187)"
361,LB-99383,Active,CV7AL,CV7 All Alc.,Park Plaza Boston MA,"(42.35098145, -71.0696041543293)"
362,LB-99136,Active,CV7AL,CV7 All Alc.,Neponset AV Dorchester MA,"(42.2858369, -71.0427962)"
363,LB-99823,Active,CV7MWL,CV7 Malt Wine Liq.,Newbury St Boston MA,"(42.3520749, -71.0733646)"
364,LB-135032,Active,CV7MWLN,CV7MWLN - Neighborhood Restricted,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
365,LB-99050,Active,CV7AL,CV7 All Alc.,Dorchester AV Dorchester MA,"(42.3079919, -71.0583042)"
366,LB-99552,Active,CV7MW,CV7 Malt Wine,Harrison AV Boston MA,"(42.3486597, -71.0623168)"
367,LB-101635,Active,INNAL,Inn. All Alc.,Soldiers Field RD Allston MA,"(42.3729817, -71.1293575)"
368,LB-99280,Active,CV7AL,CV7 All Alc.,Washington ST Jamaica Plain MA,"(42.2996596, -71.1150017)"
369,LB-99348,Active,CV7AL,CV7 All Alc.,Sumner ST East Boston MA,"(42.3686787, -71.0392784)"
370,LB-99497,Active,CV7ALR,CV7 All Alc. Restrict.,Congress St Boston MA,"(42.3525392, -71.0524452)"
371,LB-99282,Active,CV7AL,CV7 All Alc.,Washington ST Jamaica Plain MA,"(42.2996596, -71.1150017)"
372,LB-99233,Active,CV7AL,CV7 All Alc.,Stoughton ST Dorchester MA,"(42.3158395, -71.0623744)"
373,LB-99774,Active,CV7MWL,CV7 Malt Wine Liq.,Causeway St Boston MA,"(42.3660018, -71.0602237)"
374,LB-143515,Active,CV7MWN,CV7MWN - Neighborhood Restricted,Warren St Roxbury MA,"(42.3195576, -71.0815392)"
375,LB-145242,Active,CV7MWN,CV7MWN - Neighborhood Restricted,Washington St Roxbury MA,"(42.331863, -71.1159534)"
376,LB-99870,Active,CV7MWR,CV7 Malt Wine Restrict.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
377,LB-99618,Active,CV7MW,CV7 Malt Wine,Beach ST Boston MA,"(42.3508125, -71.0580971)"
378,LB-99072,Active,CV7AL,CV7 All Alc.,Faneuil Hall Marketplace Boston MA,"(42.3598941, -71.0558306)"
379,LB-99477,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal E East Boston MA,"(42.369671, -71.022036)"
380,LB-98914,Active,CV7AL,CV7 All Alc.,Blackstone ST Boston MA,"(42.3615029, -71.0561715)"
381,LB-99254,Active,CV7AL,CV7 All Alc.,Tremont St Roxbury MA,"(42.3314388, -71.0945931)"
382,LB-99119,Active,CV7AL,CV7 All Alc.,Northern Av Boston MA,"(42.3485599, -71.0382116)"
383,LB-99352,Active,CV7AL,CV7 All Alc.,Beach ST Boston MA,"(42.3508125, -71.0580971)"
384,LB-99215,Active,CV7AL,CV7 All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
385,LB-99374,Active,CV7AL,CV7 All Alc.,Centre ST West Roxbury MA,"(42.2875094, -71.1524339)"
386,LB-99355,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
387,LB-99267,Active,CV7AL,CV7 All Alc.,Porter ST East Boston MA,"(42.3725195, -71.034817)"
388,LB-99148,Active,CV7AL,CV7 All Alc.,Maverick SQ East Boston MA,"(42.3694004, -71.0392245)"
389,LB-99820,Active,CV7MWL,CV7 Malt Wine Liq.,Shawmut AV Roxbury MA,"(42.328666, -71.0861827)"
390,LB-99381,Active,CV7AL,CV7 All Alc.,Saratoga ST East Boston MA,"(42.3865161, -71.0063664)"
391,LB-99625,Active,INNMW,Innholder Malt & Wine,D St Boston MA,"(42.3341553, -71.0563777)"
392,LB-99409,Active,CV7AL,CV7 All Alc.,Devonshire ST Boston MA,"(42.3562203, -71.0573561)"
393,LB-101644,Active,INNAL,Inn. All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
394,LB-101654,Active,INNAL,Inn. All Alc.,Porter St East Boston MA,"(42.3725195, -71.034817)"
395,LB-101574,Active,GOPAL,GOP All Alc.,Washington ST Boston MA,"(42.3440542, -71.1426459)"
396,LB-101610,Active,GOPMWL,GOP Malt Wine Liq.,Tremont ST Boston MA,"(42.3582926, -71.0602525)"
397,LB-98919,Active,CV7AL,CV7 All Alc.,Marina Park DR Boston MA,"(42.3526924, -71.0452894)"
398,LB-99066,Active,CV7AL,CV7 All Alc.,Washington ST BOSTON MA,"(42.3440542, -71.1426459)"
399,LB-99187,Active,INNAL,Inn. All Alc.,Sleeper St Boston MA,"(42.3532931, -71.0483231)"
400,LB-99647,Active,CV7MW,CV7 Malt Wine,Washington ST Roxbury MA,"(42.331863, -71.1159534)"
401,LB-99843,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,Church ST Boston MA,"(42.308527, -71.063248)"
402,LB-99418,Active,CV7AL,CV7 All Alc.,Adams St Dorchester MA,"(42.2588941, -71.0430771)"
403,LB-99606,Active,CV7MW,CV7 Malt Wine,Salem ST Boston MA,"(42.3664741, -71.0546855)"
404,LB-99661,Active,CV7MW,CV7 Malt Wine,Washington ST Brighton MA,"(42.3440542, -71.1426459)"
405,LB-99043,Active,CV7AL,CV7 All Alc.,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
406,LB-135168,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Harrison AV Boston MA,"(42.3486597, -71.0623168)"
407,LB-99110,Active,CV7AL,CV7 All Alc.,Washington ST Jamaica Plain MA,"(42.2996596, -71.1150017)"
408,LB-101636,Active,INNAL,Inn. All Alc.,Saint James AV Boston MA,"(42.349644, -71.0756182)"
409,LB-99144,Active,CV7AL,CV7 All Alc.,West ST Boston MA,"(42.261858, -71.122748)"
410,LB-99573,Active,CV7MWL,CV7 Malt Wine Liq.,Beacon ST Boston MA,"(42.3553503, -71.0728293)"
411,LB-101666,Active,INNAL,Inn. All Alc.,Brookline Av Boston MA,"(42.3364702, -71.1097786)"
412,LB-99536,Active,CV7MW,CV7 Malt Wine,Charles ST Boston MA,"(42.3003827, -71.0624746)"
413,LB-99586,Active,CV7MW,CV7 Malt Wine,Main ST Charlestown MA,"(17.1385993, -62.6288555)"
414,LB-98976,Active,CV7AL,CV7 All Alc.,Causeway ST Boston MA,"(42.3660018, -71.0602237)"
415,LB-99738,Active,CV7MWL,CV7 Malt Wine Liq.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
416,LB-99548,Active,CV7MW,CV7 Malt Wine,Chestnut Hill AV Brighton MA,"(42.338352, -71.1528837)"
417,LB-99863,Active,CV7MWR,CV7 Malt Wine Restrict.,Beacon St Boston MA,"(42.3553503, -71.0728293)"
418,LB-125132,Active,CV7MWR,CV7 Malt Wine Restrict.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
419,LB-99571,Active,CV7MW,CV7 Malt Wine,Cambridge ST Boston MA,"(42.3609956, -71.0616096)"
420,LB-99364,Active,CV7AL,CV7 All Alc.,Saint James AV Boston MA,"(42.349644, -71.0756182)"
421,LB-99683,Active,CV7MW,CV7 Malt Wine,Brighton AV Allston MA,"(42.3535351, -71.1363711)"
422,LB-99780,Active,CV7MWL,CV7 Malt Wine Liq.,Columbus AV Roxbury MA,"(42.3154539, -71.0981651)"
423,LB-99644,Active,CV7MW,CV7 Malt Wine,Beach ST Boston MA,"(42.3508125, -71.0580971)"
424,LB-99855,Active,CV7MWR,CV7 Malt Wine Restrict.,Huntington AV Boston MA,"(42.3397762, -71.0906494)"
425,LB-99248,Active,CV7AL,CV7 All Alc.,Tremont ST Roxbury MA,"(42.3314388, -71.0945931)"
426,LB-99270,Active,CV7AL,CV7 All Alc.,Stuart St Boston MA,"(42.3504953, -71.0686605)"
427,LB-99087,Active,CV7AL,CV7 All Alc.,Hanover ST Boston MA,"(42.364779, -71.053461)"
428,LB-99079,Active,CV7AL,CV7 All Alc.,Hallet ST Dorchester MA,"(42.284105, -71.0466963)"
429,LB-98838,Active,CLBALV,Clb. All Alc. Vet.,Harvard AV Hyde Park MA,"(42.258647, -71.122443)"
430,LB-98917,Active,CV7AL,CV7 All Alc.,Dartmouth ST Boston MA,"(42.3516529, -71.0781096)"
431,LB-99323,Active,CV7AL,CV7 All Alc.,Hyde Park Av Jamaica Plain MA,"(42.292915, -71.117675)"
432,LB-99411,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
433,LB-101617,Active,INNAL,Inn. All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
434,LB-99004,Active,CV7AL,CV7 All Alc.,Commercial ST Boston MA,"(42.3635989, -71.0513736)"
435,LB-98972,Active,CV7AL,CV7 All Alc.,Canal ST Boston MA,"(42.3655034, -71.0611978)"
436,LB-99480,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
437,LB-98898,Active,CV7AL,CV7 All Alc.,Richmond ST Boston MA,"(42.363096, -71.054075)"
438,LB-99526,Active,CV7MW,CV7 Malt Wine,Hanover St Boston MA,"(42.364779, -71.053461)"
439,LB-98880,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal A #17 East Boston MA,"(42.3644165, -71.0200532)"
440,LB-98928,Active,CV7AL,CV7 All Alc.,Lansdowne Boston MA,"(42.3472762, -71.0952103)"
441,LB-99194,Active,CV7AL,CV7 All Alc.,Harrison AV Roxbury MA,"(42.3279605, -71.0830607)"
442,LB-99126,Active,CV7AL,CV7 All Alc.,Northern AV Boston MA,"(42.3485599, -71.0382116)"
443,LB-98935,Active,CV7AL,CV7 All Alc.,Province St Boston MA,"(42.357137, -71.059849)"
444,LB-99226,Active,CV7AL,CV7 All Alc.,North SQ Boston MA,"(42.3638356, -71.0533980665982)"
445,LB-99521,Active,CV7MW,CV7 Malt Wine,Hanover St Boston MA,"(42.364779, -71.053461)"
446,LB-99768,Active,CV7MWL,CV7 Malt Wine Liq.,Columbus AV Boston MA,"(42.3154539, -71.0981651)"
447,LB-99565,Active,CV7MW,CV7 Malt Wine,Hudson St Boston MA,"(42.3481247, -71.0611242)"
448,LB-98932,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
449,LB-99654,Active,CV7MW,CV7 Malt Wine,Hudson St Boston MA,"(42.3481247, -71.0611242)"
450,LB-99175,Active,CV7AL,CV7 All Alc.,Kingston St Boston MA,"(42.3528032, -71.0594424)"
451,LB-99826,Active,CV7MWL,CV7 Malt Wine Liq.,Centre ST Jamaica Plain MA,"(42.3094665, -71.115559)"
452,LB-157946,Active,CV7ALN,CV7ALN - Neighborhood Restricted,Washington ST Jamaica Plain MA,"(42.2996596, -71.1150017)"
453,LB-99010,Active,CV7AL,CV7 All Alc.,Commonwealth AV Allston MA,"(42.3519534, -71.1234233)"
454,LB-99137,Active,CV7AL,CV7 All Alc.,Marshall ST Boston MA,"(42.3618414, -71.0568986)"
455,LB-99237,Active,CV7AL,CV7 All Alc.,Stuart St Boston MA,"(42.3504953, -71.0686605)"
456,LB-121376,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,Massachusetts AV Roxbury MA,"(42.3419059, -71.083554)"
457,LB-99764,Active,CV7MWL,CV7 Malt Wine Liq.,Bowdoin ST Boston MA,"(42.3587017, -71.0628791)"
458,LB-99562,Active,CV7MW,CV7 Malt Wine,Washington ST Roslindale MA,"(42.279549, -71.135535)"
459,LB-99857,Active,CV7MWR,CV7 Malt Wine Restrict.,Dade St Roxbury MA,"(42.3318159, -71.0820361)"
460,LB-99514,Active,CV7MW,CV7 Malt Wine,Causeway St Boston MA,"(42.3660018, -71.0602237)"
461,LB-101646,Active,INNAL,Inn. All Alc.,State ST BOSTON MA,"(42.3588444, -71.0572152)"
462,LB-98992,Active,CV7AL,CV7 All Alc.,Clinton ST Boston MA,"(42.360787, -71.0538187)"
463,LB-99032,Active,CV7AL,CV7 All Alc.,Dorchester Av Dorchester MA,"(42.3079919, -71.0583042)"
464,LB-98882,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal A East Boston MA,"(42.3649631, -71.0207667)"
465,LB-99015,Active,CV7AL,CV7 All Alc.,Commonwealth AV Brighton MA,"(42.3399223, -71.1598651)"
466,LB-99346,Active,CV7AL,CV7 All Alc.,Berkeley ST Boston MA,"(42.3462276, -71.0706074)"
467,LB-99399,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
468,LB-98970,Active,CV7AL,CV7 All Alc.,Cambridge ST Boston MA,"(42.3609956, -71.0616096)"
469,LB-99638,Active,CV7MW,CV7 Malt Wine,Beach ST Boston MA,"(42.3508125, -71.0580971)"
470,LB-99420,Active,CV7AL,CV7 All Alc.,Union ST Boston MA,"(42.346181, -71.152921)"
471,LB-99276,Active,CV7AL,CV7 All Alc.,Congress St Boston MA,"(42.3525392, -71.0524452)"
472,LB-98991,Active,CV7AL,CV7 All Alc.,State ST Boston MA,"(42.3588444, -71.0572152)"
473,LB-101621,Active,INNAL,Inn. All Alc.,Dalton ST Boston MA,"(42.3478661, -71.0855635)"
474,LB-101650,Active,INNAL,Inn. All Alc.,Broad ST Boston MA,"(42.3586486, -71.0543732)"
475,LB-101634,Active,INNAL,Inn. All Alc.,Hotel DR East Boston ,"(42.3656871, -71.0242234)"
476,LB-139777,Active,INNALR,Inn. All Alc. Restrict.,Boardman St East Boston MA,"(42.390703, -71.012446)"
477,LB-99851,Active,CV7MWR,CV7 Malt Wine Restrict.,Centre ST West Roxbury MA,"(42.2875094, -71.1524339)"
478,LB-101615,Active,INNAL,Inn. All Alc.,Boylston St Boston MA,"(42.3500548, -71.0774775)"
479,LB-99833,Active,CV7MWL,CV7 Malt Wine Liq.,Massachusetts AV Dorchester MA,"(42.3204879, -71.0615585)"
480,LB-99626,Active,CV7MW,CV7 Malt Wine,Harrison AV Boston MA,"(42.3486597, -71.0623168)"
481,LB-99675,Active,CV7MW,CV7 Malt Wine,Beach ST Boston MA,"(42.3508125, -71.0580971)"
482,LB-101619,Active,INNAL,Inn. All Alc.,Commonwealth AV Boston MA,"(42.3491501, -71.0876189)"
483,LB-99120,Active,CV7AL,CV7 All Alc.,Lansdowne Boston MA,"(42.3472762, -71.0952103)"
484,LB-99575,Active,CV7MW,CV7 Malt Wine,Columbus AV Roxbury MA,"(42.3154539, -71.0981651)"
485,LB-99579,Active,CV7MW,CV7 Malt Wine,Tremont ST Roxbury MA,"(42.3314388, -71.0945931)"
